rank,city,company,website,state,founded,industry,metro
40,Las Vegas,Diversified Protection,dpcsecurity.com,Nevada,1999,Security,"Las Vegas, NV"
41,Pasadena,Fox Dealer,foxdealer.com,California,2013,Advertising & Marketing,Los Angeles
42,Manassas,Ecology Mir Group,ecomirgroup.com,Virginia,2012,Government Services,"Washington, DC"
43,Rockville,Homesnap,homesnap.com,Maryland,2008,Real Estate,"Washington, DC"
44,San Francisco,GitLab,about.gitlab.com,California,2014,Software,San Francisco
45,Portland,Cura Cannabis Solutions,curacan.com,Oregon,2014,Consumer Products & Services,"Portland, OR"
46,Chicago,Edge Logistics,edgelogistics.com,Illinois,2014,Logistics & Transportation,Chicago
47,Los Angeles,ScaleLab,scalelab.com,California,2013,Media,Los Angeles
48,Evergreen,Mindful Health,danettemay.com,Colorado,2012,Health,Denver
49,Pittsburgh,PANTHERx Specialty Pharmacy,pantherspecialty.com,Pennsylvania,2011,Health,"Pittsburgh, PA"
50,San Francisco,uBiome,ubiome.com,California,2012,Health,San Francisco
51,Washington,Washington Business Dynamics,wbdynamics.com,District of Columbia,2012,Government Services,"Washington, DC"
52,Syracuse,Digital Hyve,digitalhyve.com,New York,2014,Advertising & Marketing,
53,Wilmington,HomeStar Remodeling,homestarremodeling.com,Delaware,2013,Construction,Philadelphia
54,Newton,INFUSEmedia,infusemedia.com,Massachusetts,2012,Advertising & Marketing,Boston
55,New York City,Affordable Luxury Group,affordableluxurygroup.com,New York,2014,Consumer Products & Services,New York City
56,Provo,TAFT,taftclothing.com,Utah,2014,Consumer Products & Services,"Provo-Orem, UT"
57,West Palm Beach,Experimac,experimac.com,Florida,2012,Computer Hardware,Miami
58,Metuchen,Momentum Solar,momentumsolar.com,New Jersey,2009,Energy,New York City
59,Washington,TalEx,teamtalex.com,District of Columbia,2012,Human Resources,"Washington, DC"
60,San Diego,SOCi,meetsoci.com,Arkansas,2012,Business Products & Services,San Diego
61,Boca Raton,reCommerce,recommercebrands.com,Florida,2013,Business Products & Services,Miami
62,Mount Laurel,Solvix Solutions,solvixsolutions.com,New Jersey,2013,Computer Hardware,Philadelphia
63,Plainsboro,Core Software Technologies,coresofttech.com,New Jersey,2011,IT Management,New York City
64,New York City,Argus Merchant Services,argusinvision.com,New York,2014,Financial Services,New York City
65,New York City,Project X,pjxmedia.com,New York,2010,Advertising & Marketing,New York City
66,El Segundo,GoGuardian,goguardian.com,California,2014,Education,Los Angeles
67,Irving,Monkedia,monkedia.com,Texas,2014,Advertising & Marketing,Dallas
68,Greenwood Village,Pax8,pax8.com,Colorado,2012,Software,Denver
69,New York City,Fundera,fundera.com,New York,2014,Financial Services,New York City
70,San Dimas,Clean Energy Solutions,cleanenergysolar.org,California,2013,Energy,Los Angeles
71,New York City,Compass,compass.com,New York,2012,Real Estate,New York City
72,Boise,ConvertKit,convertkit.com,Idaho,2013,Software,"Boise City-Nampa, ID"
73,Ranson,Mountain State Software Solutions,ms3-inc.com,West Virginia,2009,IT System Development,"Washington, DC"
74,Irvine,RRDS,rrds.com,California,2014,Government Services,Los Angeles
75,San Diego,Cloudbeds,cloudbeds.com,California,2012,Travel & Hospitality,San Diego
76,Eagle,ClickFunnels,clickfunnels.com,Idaho,2014,Software,"Boise City-Nampa, ID"
77,Irving,QEO Group,qeo.com,Texas,2014,Insurance,Dallas
78,Dallas,Case Energy Partners,caseenergypartners.com,Texas,2012,Energy,Dallas
79,New York City,Namely,namely.com,New York,2012,Human Resources,New York City
80,New York City,Y7 Studio,y7-studio.com,New York,2013,Consumer Products & Services,New York City
81,Rockville,Vigene Biosciences,vigenebio.com,Maryland,2012,Health,"Washington, DC"
82,Camarillo,ZPower,zpowerbattery.com,California,1996,Energy,"Oxnard-Thousand Oaks-Ventura, CA"
83,Denver,AdCellerant,adcellerant.com,Colorado,2013,Advertising & Marketing,Denver
84,Jacksonville Beach,Pine Gate Renewables,pgrenewables.com,Florida,2014,Energy,Charlotte
85,Philadelphia,NEU,whatsneu.com,Pennsylvania,2012,Retail,Philadelphia
86,Lehi,Boomsourcing,boomsourcing.com,Utah,2007,Business Products & Services,"Provo-Orem, UT"
87,Long Beach,Pawstruck,pawstruck.com,California,2014,Retail,Los Angeles
88,Irvine,Amaryllis Apparel,amaryllisapparel.com,California,2014,Retail,Los Angeles
89,Vancouver,Apex Air,apexairco.com,Washington,2014,Construction,"Portland, OR"
90,Atlanta,HealPros,healpros.com,Georgia,2011,Health,Atlanta
91,Los Angeles,Real Plans,realplans.com,California,2014,Food & Beverage,Los Angeles
92,Marietta,Impact Mailers,impactmailers.com,Georgia,2013,Advertising & Marketing,Atlanta
93,Atlanta,Thought Logic Consulting,thought-logic.com,Georgia,2013,Business Products & Services,Atlanta
94,New York City,Snaps,snaps.io,New York,2010,Software,New York City
95,Irvine,Club Pilates Franchise,clubpilatesfranchise.com,California,2007,Consumer Products & Services,Los Angeles
96,Clearwater,KnowBe4,knowbe4.com,Florida,2010,IT Management,Tampa
97,New York City,Peloton,onepeloton.com,New York,2012,Retail,New York City
98,Miami,SWARM,swarminc.com,Florida,2014,Advertising & Marketing,Miami
99,Conshohocken,AndusLLC/Andus Health Benefits,andusllc.com,Pennsylvania,2014,Insurance,Philadelphia
100,Martinsville,Adsugar,adsugar.com,New Jersey,1999,Advertising & Marketing,New York City
101,Atlanta,Recleim,recleim.com,Georgia,2012,Environmental Services,Atlanta
102,Santa Ana,SkillSet Group,skillsetgroup.com,California,2013,Human Resources,Los Angeles
103,Rochester,The Media Manager,themediamgr.com,Minnesota,2014,Advertising & Marketing,
104,Frisco,Asset Panda,asset pandaassetpanda.com,Texas,2012,Software,Dallas
105,Bensenville,United Trans Group,unitedtg.com,Illinois,2014,Logistics & Transportation,Chicago
106,Minneapolis,Love Your Melon,loveyourmelon.com,Minnesota,2012,Retail,Minneapolis
107,Oakland,Broadly,broadly.com,California,2013,Software,San Francisco
108,St Louis,Need/Want,needwant.com,Missouri,2014,Retail,"St. Louis, MO-IL"
109,Palo Alto,1World Online,welcome.1worldonline.com,California,2011,Software,San Jose
110,Huntington Beach,FreightSaver,freightsaver.com,California,2014,Logistics & Transportation,Los Angeles
111,Valley Stream,Equinox International (New York),equinoxintbrands.com,New York,2014,Retail,New York City
112,Clearwater,Elite Insurance Partners,medicarefaq.com,Florida,2013,Insurance,Tampa
113,Baltimore,Five Doors Network,fivedoors.com,Maryland,2014,Real Estate,Baltimore
114,Columbia,Parrish and Partners,parrishandpartners.com,South Carolina,2013,Engineering,"Columbia, SC"
115,Memphis,Moore Advanced,mooreadvanced.info,Tennessee,2013,Logistics & Transportation,
116,Leesburg,"FedBiz IT Solutions, LLC",http://fedbizit.com,Virginia,2011,Government Services,"Washington, DC"
117,New York City,SeedInvest,seedinvest.com,New York,2012,Financial Services,New York City
118,Palo Alto,Liftoff,liftoff.io,California,2012,Advertising & Marketing,San Jose
119,Concord,GREEN BAY REMODELING,greenbayremodelinginc.com,California,2014,Construction,San Francisco
120,Rialto,AT Racing World,atracingworld.com,California,2003,Retail,"Inland Empire, CA"
121,Chicago,RedShelf,redshelf.com,Illinois,2012,Education,Chicago
122,Honesdale,Yoga International,yogainternational.com,Pennsylvania,2013,Media,
123,Tulsa,Big Elk Energy Systems,bigelk.com,Oklahoma,2013,Manufacturing,"Tulsa, OK"
124,Naples,Chomps,chomps.com,Florida,2012,Food & Beverage,
125,San Francisco,Carta,carta.com,California,2012,Software,San Francisco
126,Greenville,UCW Logistics,ucwlogistics.com,South Carolina,2013,Logistics & Transportation,"Greenville-Mauldin-Easley, SC"
127,Liberty,Nickel & Suede,nickelandsuede.com,Missouri,2014,Consumer Products & Services,"Kansas City, MO-KS"
128,Johnson City,T. C. Lewis & Co. Real Estate,tclrealestate.com,Tennessee,2014,Real Estate,
129,Boca Raton,AlturnaTech,alturna-tech.com,Florida,2014,IT Management,Miami
130,Greer,The Hiring Group,thehiringgroup.com,South Carolina,2014,Human Resources,Atlanta
131,Las Vegas,Hyperion Partners,hyperionpartners.net,Nevada,2012,Telecommunications,"Las Vegas, NV"
132,Chantilly,TerraCotta Technologies,teamtc.com,Virginia,2010,Government Services,"Washington, DC"
133,Southbury,Current Staffing Solutions,currentstaffing.com,Connecticut,2012,Human Resources,
134,San Marino,FastExpert,fastexpert.com,California,2014,Real Estate,Los Angeles
135,Temecula,FREEDOM FOREVER,freedomforever.com,California,2013,Energy,"Inland Empire, CA"
136,Tysons,stackArmor,stackarmor.com,Virginia,2012,IT Management,"Washington, DC"
137,Kennesaw,Vibe Kayaks,vibekayaks.com,Georgia,2013,Consumer Products & Services,Atlanta
138,Austin,Favor,favordelivery.com,Texas,2013,Logistics & Transportation,Austin
139,New York City,CardFlight,cardflight.com,New York,2013,Financial Services,New York City
140,Austin,Student Loan Hero,studentloanhero.com,Texas,2012,Financial Services,Austin
141,Lehi,iServe,iserve.com,Utah,2013,Advertising & Marketing,"Provo-Orem, UT"
142,West Hollywood,VILLAWAY,villaway.com,California,2014,Travel & Hospitality,Los Angeles
143,Menlo Park,Aha!,aha.io,California,2013,Software,San Francisco
144,New York City,Bustle Digital Group,bustle.company,New York,2013,Media,New York City
145,Houston,Karya Property Management,karyamanagement.com,Texas,2014,Real Estate,Houston
146,Orem,Slingshot,getslingshot.com,Utah,2014,Advertising & Marketing,"Provo-Orem, UT"
147,Pleasant View,Hastings Management,hastingsmgt.com,Tennessee,2012,Construction,
148,Athens,Seller Labs,sellerlabs.com,Georgia,2013,Software,
149,Denver,Choozle,choozle.com,Colorado,2012,Advertising & Marketing,Denver
150,Wilmington,Untappd,untappd.com,North Carolina,2010,Food & Beverage,
151,Santa Ana,QALO,qalo.com,California,2013,Consumer Products & Services,Los Angeles
152,Brentwood,MDsave,mdsave.com,Tennessee,2012,Health,Nashville
153,Bismarck,CoSchedule,coschedule.com,North Dakota,2013,Software,
154,Hudsonville,Shefit,shefit.com,Michigan,2013,Retail,
155,Glendale Heights,Linea di Liara,lineadiliara.com,Illinois,2013,Consumer Products & Services,Chicago
156,San Francisco,Apptimize,apptimize.com,California,2013,Software,San Francisco
157,Columbia,Inspiranza Designs,inspiranzadesigns.com,Illinois,2005,Retail,"St. Louis, MO-IL"
158,Foster City,GridGain Systems,gridgain.com,California,2007,Software,San Francisco
159,Chicago,Pinnacle Furnished Suites,pfsuites.com,Illinois,2014,Real Estate,Chicago
160,Southlake,ExcelHealth,ireliev.com,Texas,2009,Health,Dallas
161,Houston,Rebellion Photonics,rebellionphotonics.com,Texas,2009,Energy,Houston
162,Duluth,Courier Distribution Systems,courierds.com,Georgia,2006,Logistics & Transportation,Atlanta
163,New York City,HYPR,hyprbrands.com,New York,2013,Advertising & Marketing,New York City
164,Denver,OrthoFi,orthofi.com,Colorado,2013,Software,Denver
165,Chicago,Strike Social,strikesocial.com,Illinois,2013,Advertising & Marketing,Chicago
166,San Francisco,RealtyShares,realtyshares.com,California,2013,Real Estate,San Francisco
167,Arlington,Stealth-ISS Group,stealth-iss.com,Virginia,2002,IT Management,"Washington, DC"
168,Bozeman,XY Planning Network,xyplanningnetwork.com,Montana,2014,Financial Services,
169,Alexandria,Dignari,dignari.com,Virginia,2013,Government Services,"Washington, DC"
170,Piscataway,Azure Knowledge,azureknowledge.com,New Jersey,2010,Business Products & Services,New York City
171,Irvine,Cylance,cylance.com,California,2012,Security,Los Angeles
172,Boise,Ventive,getventive.com,Idaho,2014,Software,"Boise City-Nampa, ID"
173,Houston,SIA SOLUTIONS,siasolutions.com,Texas,2012,Environmental Services,Houston
174,Lubbock,Primitive Social,primitivesocial.com,Texas,2011,Advertising & Marketing,
175,New York City,Bombas,bombas.com,New York,2013,Consumer Products & Services,New York City
176,Pembroke Pines,BoxyCharm,boxycharm.com,Florida,2013,Consumer Products & Services,Miami
177,Carnegie,Shannon Staley & Sons,shannonstaleyandsons.com,Pennsylvania,2012,Construction,"Pittsburgh, PA"
178,Arlington,Indev,indev.com,Virginia,2013,Government Services,"Washington, DC"
179,Chicago,G2 Crowd,g2crowd.com,Illinois,2012,Software,Chicago
180,Flower Mound,Mortgage Financial Services,mortgagefinancial.com,Texas,2007,Financial Services,Dallas
181,Chandler,CampusLogic,campuslogic.com,Arizona,2011,Software,Phoenix
182,Boulder,Amplio Digital,ampliodigital.com,Colorado,2014,Advertising & Marketing,"Boulder, CO"
183,Arlington,ByteCubed,bytecubed.com,Virginia,2011,IT System Development,"Washington, DC"
184,Fredericksburg,Federal Strategies,fed-strat.com,Virginia,2014,Government Services,"Washington, DC"
185,El Segundo,Fishermen Labs,fishermenlabs.com,California,2014,Software,Los Angeles
186,Leesburg,B3 Group,b3groupinc.com,Virginia,2008,Government Services,"Washington, DC"
187,Granite Falls,Sheds Direct,shedsdirectinc.com,North Carolina,2013,Construction,
188,Las Vegas,Southwest Geotechnical,swgeo.us,Nevada,2014,Engineering,"Las Vegas, NV"
189,Nashville,Aspire Health,aspirehealthcare.com,Tennessee,2013,Health,Nashville
190,Provo,Blue Fire Leads,bluefireleads.com,Utah,2014,Advertising & Marketing,"Provo-Orem, UT"
191,Virginia Beach,ODL Services,odlservices.com,Virginia,2012,Government Services,Virginia Beach
192,Santa Barbara,ShipHawk,shiphawk.com,California,2012,Logistics & Transportation,"Santa Barbara-Santa Maria-Goleta, CA"
193,Chicago,SEI-Chicago,sei.com/chicago-office,Illinois,2014,Business Products & Services,Chicago
194,San Diego,Organifi,organifi.com,California,2014,Health,San Diego
195,Peachtree Corners,5Q Partners,5qpartners.com,Georgia,2013,IT Management,Atlanta
196,Santa Monica,Inspire,helloinspire.com,California,2014,Energy,Los Angeles
197,Salt Lake City,American Business Brokers,americanbizbrokers.com,Utah,2013,Business Products & Services,Salt Lake City
198,Sonoma,Lexicon Health,lexicondmg.com,California,2012,Media,
199,San Francisco,Gametime,gametime.co,California,2012,Consumer Products & Services,San Francisco
200,Santa Monica,Greenspire,greenspire.com,California,2012,Energy,Los Angeles
201,Dallas,Acuity Surgical,acuitysurgical.com,Texas,2013,Health,Dallas
202,Fayetteville,Digital Relativity,digitalrelativity.com,West Virginia,2011,Advertising & Marketing,
203,Leesburg,ARM Consulting,armconsultingonline.com,Virginia,2005,Government Services,"Washington, DC"
204,Lewistown,MOVE Bumpers,movebumpers.com,Montana,2013,Manufacturing,
205,Doral,Aerospace Asset Trading,aerospaceasset.com,Florida,2013,Business Products & Services,Miami
206,Seattle,Discuss.io,discuss.io,Washington,2013,Software,Seattle
207,Austin,Wells Solar,wellssolar.com,Texas,2014,Energy,Austin
208,Gilbert,Titan Solar Power,titansolarpower.com,Arizona,2013,Energy,Phoenix
209,Venice Beach,Seriously,seriously.com,California,2013,Media,Los Angeles
210,Orlando,Crystal Clear Digital Marketing,crystalcleardigitalmarketing.com,Florida,2013,Health,"Orlando, FL"
211,Boston,2020 On-site,2020onsite.com,Massachusetts,2013,Health,Boston
212,Glendale,Avanti Industries,avantiwindow.com,Arizona,2014,Construction,Phoenix
213,New York City,Chef's Cut Real Jerky,chefscutrealjerky.com,New York,2009,Food & Beverage,New York City
214,Paragould,Elite Senior Care,myeliteseniorcare.com,Arkansas,2013,Health,
215,Indiana,Option Alpha,optionalpha.com,Pennsylvania,2014,Software,
216,Missoula,CLEARAS Water Recovery,clearaswater.com,Montana,2008,Environmental Services,
217,Fairfax,FedWriters,http://fedwriters.com,Virginia,2010,Government Services,"Washington, DC"
218,Accokeek,Agil3 Technology Solutions,agil3tech.com,Maryland,2012,Government Services,"Washington, DC"
219,Portland,Brazi Bites,brazibites.com,Oregon,2010,Food & Beverage,"Portland, OR"
220,Chicago,Meridian Appraisal Management,meridianamc.com,Illinois,2013,Real Estate,Chicago
221,Tempe,Trinity Air Medical,trinityairmedical.com,Arizona,2012,Logistics & Transportation,Phoenix
222,Seminole,Teami,teamiblends.com,Florida,2013,Food & Beverage,Tampa
223,Pasadena,Tridant Solutions,tridantsolutions.com,California,2005,Government Services,Los Angeles
224,Annapolis Junction,Y-Tech,ytechllc.com,Maryland,2005,Government Services,Baltimore
225,New York City,Braze,braze.com,New York,2011,Software,New York City
226,Woodbine,Phoenix Operations Group,phoenix-opsgroup.com,Maryland,2011,Government Services,Baltimore
227,St Petersburg,CU Engage,cuengage.com,Florida,2014,Financial Services,Tampa
228,Emeryville,REBBL,rebbl.co,California,2012,Food & Beverage,San Francisco
229,Keller,Linux Academy,linuxacademy.com,Texas,2012,Education,Dallas
230,Atlanta,QASymphony,qasymphony.com,Georgia,2014,Software,Atlanta
231,Seattle,TomboyX,tomboyx.com,Washington,2012,Consumer Products & Services,Seattle
232,Clearwater,Marketopia,marketopia.com,Florida,2013,Advertising & Marketing,Tampa
233,Austin,Axzon,rfmicron.com,Texas,2006,IT System Development,Austin
234,Springfield,Interactive Government Holdings,interactivegov.com,Virginia,2006,Government Services,"Washington, DC"
235,Birmingham,Southern Veterinary Partners,svp.vet,Alabama,2014,Health,"Birmingham, AL"
236,Oakland,HealthFlex Home Health Services,healthflexhhs.com,California,2012,Health,San Francisco
237,Norman,Monterey Construction,montereyok.com,Oklahoma,2013,Construction,"Oklahoma City, OK"
238,Costa Mesa,Absolute Merch,absolutemerch.com,California,2012,Consumer Products & Services,Los Angeles
239,Arlington,Capitol Bridge,capitolbridgellc.com,Virginia,2012,Government Services,"Washington, DC"
240,Amherst,ESC Choice,myesc.com,New York,2012,Human Resources,
241,New York City,Bluecore,bluecore.com,New York,2014,Advertising & Marketing,New York City
242,San Francisco,Hero Digital,herodigital.com,California,2014,Advertising & Marketing,San Francisco
243,Dallas,Access Physicians,access-physicians.com,Texas,2013,Health,Dallas
244,Charlottesville,VividCortex,vividcortex.com,Virginia,2012,Software,"Columbia, SC"
245,Soquel,Warrior Media,warriormedia.com,California,2012,Consumer Products & Services,
246,Uvalde,Ox Ranch Investment,oxhuntingranch.com,Texas,2012,Consumer Products & Services,
247,Hoffman Estates,Squadhelp.com,squadhelp.com,Illinois,2011,Business Products & Services,Chicago
248,Westerville,Central Point Partners,centralpointpartners.com,Ohio,2012,IT Management,"Columbus, OH"
249,Charleston,Gotcha Media Holdings,thegotchagroup.com,South Carolina,2009,Advertising & Marketing,"Charleston, SC"
250,Atlanta,IT Works Recruitment,itworksrec.com,Georgia,2013,Human Resources,Atlanta
251,New York City,BoardVitals,boardvitals.com,New York,2013,Education,New York City
252,Huntsville,Cintel,cintel-inc.com,Alabama,2013,Government Services,"Huntsville, AL"
253,St Louis,Sapper Consulting,sapperconsulting.com,Missouri,2014,Advertising & Marketing,"St. Louis, MO-IL"
254,Virginia Beach,Abrams Realty,abramshomes.com,Virginia,2013,Real Estate,Virginia Beach
255,Washington,Radius Networks,radiusnetworks.com,District of Columbia,2011,Software,"Washington, DC"
256,New York City,Stride Consulting,stridenyc.com,New York,2014,Software,New York City
257,San Francisco,Tubi TV,tubi.tv,California,2014,Media,San Francisco
258,Tustin,Morning Lavender,morninglavender.com,California,2014,Retail,Los Angeles
259,San Francisco,Algolia,algolia.com,California,2012,Software,San Francisco
260,Scottsdale,Amazing Lash Studio,amazinglashstudio.com,Arizona,2013,Retail,Phoenix
261,Washington,GovernmentCIO,governmentcio.com,District of Columbia,2011,Government Services,"Washington, DC"
262,West Palm Beach,Digital Resource,yourdigitalresource.com,Florida,2014,Advertising & Marketing,Miami
263,Los Angeles,MuteSix,mutesix.com,California,2014,Advertising & Marketing,Los Angeles
264,Batavia,Factor 75,factor75.com,Illinois,2013,Food & Beverage,Chicago
265,St Louis,ProPharma Sales,propharmasales.com,Missouri,2013,Advertising & Marketing,"St. Louis, MO-IL"
266,Mesa,Cetechs,cetechs.net,Arizona,2009,Government Services,Phoenix
267,Ladson,Frampton Construction,frampton.construction,South Carolina,2014,Construction,"Charleston, SC"
268,Idaho Falls,Stukent,stukent.com,Idaho,2013,Education,
269,Sparks,Growth Solutions,http://growthsolutionsteam.com,Maryland,2012,Business Products & Services,Baltimore
270,West Jordan,Beddy's,beddys.com,Utah,2013,Consumer Products & Services,Salt Lake City
271,Exton,Spruce InfoTech,spruceinfotech.com,Pennsylvania,2011,IT Management,Philadelphia
272,Hoboken,Health Recovery Solutions,healthrecoverysolutions.com,New Jersey,2012,Health,New York City
273,Rockville,BarnAllen Technologies,barnallen.com,Maryland,2009,Government Services,"Washington, DC"
274,San Francisco,Lob.com,lob.com,California,2013,Business Products & Services,San Francisco
275,McLean,The Author,authorincubator.com,Virginia,2010,Media,"Washington, DC"
276,Chicago,First Stop Health,fshealth.com,Illinois,2011,Health,Chicago
277,Chicago,Era Transport,goeratransport.com,Illinois,2013,Logistics & Transportation,Chicago
278,Atlanta,Private Label Extensions,privatelabelextensions.com,Georgia,2013,Consumer Products & Services,Atlanta
279,Lenexa,Mer-Sea & Co.,mersea.com,Kansas,2013,Consumer Products & Services,"Kansas City, MO-KS"
280,Chicago,Novatio Solutions,novatiosolutions.com,Illinois,2014,Software,Chicago
281,Tampa,iProcedures,iprocedures.com,Florida,2009,Health,Tampa
282,Minnetonka,Merchology,merchology.com,Minnesota,2013,Business Products & Services,Minneapolis
283,Leesburg,Allied Mission Group,alliedmission.com,Virginia,2013,IT System Development,"Washington, DC"
284,Plano,Alkami Technology,alkami.com,Texas,2009,Software,Dallas
285,Arlington,2M Research,2mresearch.com,Texas,2011,Government Services,Dallas
286,New York City,FitSmallBusiness.com,fitsmallbusiness.com,New York,2011,Business Products & Services,New York City
287,Austin,Maggie Louise Confections,maggielouiseconfections.com,Texas,2014,Food & Beverage,Austin
288,Loveland,Bridgewater Homes,bridgewaterhomes.com,Colorado,2011,Construction,
289,Milpitas,Enquero,enquero.com,California,2014,IT System Development,San Jose
290,New York City,Surgo Group,surgogroup.com,New York,2010,Software,New York City
291,San Jose,DigitalOnUS,digitalonus.com,California,2010,IT System Development,San Jose
292,Plainview,GYMGUYZ,gymguyz.com,New York,2008,Health,New York City
293,Plano,Newline Interactive,newline-interactive.com,Texas,2012,Business Products & Services,Dallas
294,Los Angeles,123 Home Care,123homecares.com,California,2013,Health,Los Angeles
295,Scottsdale,My Home Group Real Estate,http://myhomegroup.com,Arizona,2005,Real Estate,Phoenix
296,Las Vegas,Quest Education,yourquest.com,Nevada,2014,Education,"Las Vegas, NV"
297,Danville,Trov,trov.com,California,2012,Software,San Francisco
298,Winter Park,Beacon Bay Project Management,bbpm.com,Florida,2004,Construction,"Orlando, FL"
299,Austin,MediaSmack,mediasmack.com,Texas,2013,Advertising & Marketing,"Sacramento, CA"
300,Blue Bell,Veterinarian Recommended Solutions,vrshealth.com,Pennsylvania,2014,Health,Philadelphia
301,Atlanta,Springbot,springbot.com,Georgia,2012,Software,Atlanta
302,Plainsboro,Saligram Systems,saligrams.com,New Jersey,2007,IT Management,New York City
303,Richmond,UrbanCore Construction,urbancoreva.com,Virginia,2014,Construction,"Richmond, VA"
304,Ventura,GiddyUp,giddyup.io,California,2013,Advertising & Marketing,"Oxnard-Thousand Oaks-Ventura, CA"
305,Riverside,United Carports,unitedcarports.com,California,2013,Manufacturing,"Inland Empire, CA"
306,Brooklyn,Kisi Security,getkisi.com,New York,2013,Security,New York City
307,Alamo,GridBright,gridbright.com,California,2013,Energy,San Francisco
308,Rochester,Real Agent Pro,realagentpros.com,New York,2014,Real Estate,"Rochester, NY"
309,Canoga Park,UPTIME,uptimeenergy.com,California,2014,Food & Beverage,Los Angeles
310,San Francisco,Marker Real Estate,markersf.com,California,2014,Real Estate,San Francisco
311,Orange,Branded Group,branded-group.com,California,2014,Construction,Los Angeles
312,Charlotte,Levvel,levvel.io,North Carolina,2013,IT System Development,Charlotte
313,San Francisco,SmartBiz Loans,smartbizloans.com,California,2009,Financial Services,San Francisco
314,Merrick,iLoveKickboxing,ilovekickboxing.com,New York,2012,Consumer Products & Services,New York City
315,Columbia,Precision SEM,precisionsem.com,Missouri,2014,Advertising & Marketing,
316,Baraboo,Driftless Glen Distillery,driftlessglen.com,Wisconsin,2014,Food & Beverage,
317,Plano,DoctorLogic,doctorlogic.com,Texas,2014,Advertising & Marketing,Dallas
318,Houma,Pelican Waste & Debris,pelicanwaste.net,Louisiana,2013,Environmental Services,
319,San Jose,Infoanalytica,infoanalytica.com,California,2012,Business Products & Services,San Jose
320,Atlanta,PeachCap,peachcap.com,Georgia,2011,Financial Services,Atlanta
321,Lehi,Tranont,tranont.com,Utah,2013,Consumer Products & Services,"Provo-Orem, UT"
322,Burlingame,UpNest,upnest.com,California,2013,Real Estate,San Francisco
